FILE_ID	SOURCE	TARGET
2015-000206-18	- carcinoma microcítico pulmonar (CMP) - carcinoma de cabeza y cuello (CyC) - tumores neuroendocrinos (TNE) - carcinoma de vías biliares - carcinoma endometrial - carcinoma de mama metastásico asociado a BRCA 1/2 - carcinoma de origen primario desconocido - tumores de células germinales (TCG) - familia de tumores de Ewing (FTE).	Cáncer de pulmón, cabeza y cuello, mama, neuroendocrino, cáncer de vesícula biliar, cáncer de endometrio, cáncer con origen primario desconocido, tumores de células germinales y tumores de Ewing.
2013-000768-27	Accidente cerebrovascular embólico de etiología indeterminada	Ictus
2012-003192-19	Ácido tranexámico para el tratamiento de la hemorragia gastrointestinal	Ácido tranexámico para el tratamiento de la hemorragia gastrointestinal (sangrado intestinal)
2017-002404-28	Acondroplasia	Enanismo
2019-002954-21	Acondroplasia en niños	Estatura baja desproporcionada con extremidades acortadas
2020-005431-70	Acromegalia	La acromegalia suele estar causada por un tumor que segrega la hormona del crecimiento (GH) en la hipófisis
2019-002190-66	Acromegalia	La acromegalia es un trastorno metabólico crónico en el que hay excesiva secreción de la hormona del crecimiento y los tejidos del cuerpo aumentan gradualmente
2016-002543-41	Adenocarcinoma de pulmón avanzado	Un tipo específico de cáncer de pulmón llamado "adenocarcinoma de pulmón"
2021-000591-10	adenocarcinoma ductal de páncreas	Cáncer de páncreas
2016-002218-36	Adenocarcinoma ductal de páncreas metastásico	Un tipo de cáncer de páncreas que se originó en las células de los tubos o conductos del páncreas y que ha dejado de ser local
2020-000349-14	Adenocarcinoma ductal pancreático	Cáncer de páncreas
2016-004126-42	adenocarcinoma ductal pancreático	El adenocarcinoma ductal pancreático (ACDP) es el tipo más común de cáncer pancreático que se desarrolla a partir de las células que recubren los conductos pancreáticos
2015-004068-13	Adenocarcinoma ductal pancreático en estadio IV con elevación de hialuronano no tratado previamente	Cáncer pancreático con altos niveles de hialuronano no tratado previamente
2018-002094-22	Adenocarcinoma ductal pancreático resecable	cáncer de páncreas susceptible de ser operado
2014-000774-18	Adenocarcinoma gástrico o de la unión gastro-esofágica (UGE) avanzado (metastático o localmente avanzado y no resecable)	Cáncer de estómago / esófago con extensión de la enfermedad a otras partes del cuerpo
2018-000406-36	Adenocarcinoma gástrico y de la unión gastroesofágica (UEG)	Cáncer de estómago y cáncer de la parte inferior del esófago
2017-002992-25	Adenocarcinoma gastrointestinal o colorrectal, que incluye cánceres de esófago, estómago, colon o recto	Cáncer de esófago, estómago, colon o recto
2013-003866-15	Adenocarcinoma metastásico de páncreas	Cáncer de páncreas que se ha extendido a otros órganos
2017-003669-87	adenocarcinoma metastásico del colon o recto previamente tratado con un régimen de fluoropirimidina/oxaliplastino y bevacizumab	Cáncer colorrectal (intestino) que se ha tratado con quimioterapia y bevacizumab y ha progresado
2018-000237-12	Adolescentes de aloinjerto renal	Adolescentes de trasplante renal 
2017-002858-36	Afasia crónica Postictus	Afasia (pérdida parcial del lenguaje) crónica tras daño vascular adquirido infarto o derrame cerebral
2012-005418-20	Afectación visual debida a un edema macular (EM) causada por el factor de crecimiento endotelial vascular (VEGF)	Afectación visual debida al acúmulo de fluidos en el fondo del ojo (mácula) causado por una sustancia intrinseca llamada factor de crecimiento del endotelio vascular
2012-005417-38	Afectación visual debida a una neovascularización coroidea (NVC) causada por el factor de crecimiento endotelial vascular (VEGF)	Afectación visual debida al crecimiento anormal de vasos en la coroide que es causado por una sustancia intrinseca llamada factor de crecimiento del endotelio vascular
2016-001127-32	AGITACIÓN Y AGRESION EN LA ENFERMEDAD DE ALZHEIMER	Pacientes con la enfermedad de Alzheimer con síntomas que incluyen agitación y comportamientos agresivos 
2013-001310-15	Alergia a Artemisia vulgaris	Alergia al polen de Artemisia
2013-001309-98	Alergia a Cupressus arizonica	Alergia al polen de Cupressus
2013-001308-13	Alergia frente a Alternaria alternata	Alergia al hongo Alternaria
2012-001939-31	Alergia frente a Dermatophagoides pteronyssinus	Alergia a ácaros del polvo (Dermatophagoides pteronyssinus)
2021-003331-28	Algunos síntomas de la COVID19 pueden continuar meses después de haber superado la fase aguda de la infección.	A diferencia de lo que ocurre con otros virus respiratorios, en una proporción significativa de los pacientes que han sufrido la enfermedad pueden persistir síntomas generales y multiorgánicos durante meses, lo que se ha denominado COVID prolongado o persistente
2018-000001-23	Alivio sintomático de la espasticidad en pacientes con esclerosis múltiple	Mejora de la espasticidad en pacientes con esclerosis múltiple. La espasticidad es una condición en la cual ciertos músculos se contraen continuamente causando rigidez muscular
2019-001084-71	Alopecia areata	Pérdida de cabello en el cuero cabelludo
2021-000387-30	ALOPECIA AREATA EN PACIENTES ADULTOS DE MODERADA A GRAVE	EPISODIO DE PÉRDIDA DEL CABELLO ASOCIADO A ALOPECIA AREATA EN PACIENTES ADULTOS
2020-002704-40	Alopecia areata en pacientes adultos de moderada a grave	Episodio de pérdida del cabello asociado a alopecia areata en pacientes adultos
2021-000037-14	Amiloidosis AL implica un trastorno hematológico causado por células plasmáticas clonales que producen cadenas ligeras de inmunoglobulina mal plegadas. 	Amiloidosis de cadenas ligeras (AL) es un trastorno sanguíneo que causa daño orgánico progresivo consecuencia del mal plegado de proteínas.Esta enfermedad puede producir síntomas y disfunción orgánica
2016-001737-27	Amiloidosis AL sistémica (recién diagnosticada)	 Amiloidosis se refiere a una enfermedad en la cual los depósitos de proteína (amiloide) se acumulan anormalmente en varios órganos y tejidos del cuerpo
2018-002098-23	Amiloidosis hereditaria por transtiretina (amiloidosis hATTR)	La Amiloidosis hATTR es una enfermedad hereditaria causada por una agregación de proteinas en el corazón y sistema nervioso. Produce disfunción en el corazon, daños en los nervios, vejiga e intestino. [CONFIRMAR SI USAR LA 2ª FRASE]
2018-001770-15	Análisis de la efectividad del manejo endovenoso no doloroso (MENA) en la administración de Propofol	Comparar una forma nueva e indolora de administrar propofol intravenoso con la forma estándar
2015-005762-28	Análisis de la esteroidogénesis folicular en estimulación ovárica controlada con FSH recombinante vs HMG en ciclos con antagonistas de la GnRH	Análisis comparativo de los cambios hormonales durante la estimulación ovárica con dos medicaciones distintas
2021-000336-55	ANÁLISIS DE SUPERVIVENCIA TRAS NEOADYUVANCIA EN CÁNCER DE PÁNCREAS RESECABLE CON FACTORES DE RIESGO	ANÁLISIS DE SUPERVIVENCIA TRAS TRATAMIENTO ANTES DE LA CIRUGÍA EN CÁNCER DE PÁNCREAS RESECABLE CON FACTORES DE RIESGO
2020-004839-25	ANEMIA DE CÉLULAS FALCIFORMES (ACF); episodios vasooclusivos (EVO)	La anemia de células falciformes es un trastorno hereditario de los glóbulos rojos que afecta la hemoglobina y conduce a episodios dolorosos (también conocidos como episodios vasooclusivos [VOE]
