Type	Rank	Freq	Range	NormFreq	NormRange
el cáncer	1	8169	199	8762.060	0.990
de la	2	6994	201	7501.756	1.000
que se	3	6953	201	7457.780	1.000
en el	4	5898	201	6326.188	1.000
cáncer de	5	5189	172	5565.715	0.856
el tratamiento	6	4420	185	4740.887	0.920
en la	7	3994	200	4283.960	0.995
de los	8	3960	200	4247.491	0.995
del cáncer	9	3621	199	3883.880	0.990
de cáncer	10	3592	201	3852.775	1.000
ensayos clínicos	11	3549	190	3806.653	0.945
del cuerpo	12	3302	176	3541.721	0.876
las células	13	3020	170	3239.249	0.846
en los	14	2966	200	3181.328	0.995
cáncer se	15	2595	180	2783.394	0.896
para el	16	2571	191	2757.652	0.950
y el	17	2236	201	2398.331	1.000
tratamiento del	18	2180	196	2338.266	0.975
de células	19	2160	151	2316.814	0.751
de tratamiento	20	2146	156	2301.797	0.776
los siguientes	21	2044	197	2192.392	0.980
de las	22	1999	196	2144.125	0.975
células cancerosas	23	1990	147	2134.472	0.731
los pacientes	24	1982	174	2125.891	0.866
que el	24	1982	193	2125.891	0.960
tipo de	26	1968	188	2110.875	0.935
tipos de	27	1843	188	1976.800	0.935
es posible	28	1781	194	1910.299	0.965
a veces	29	1764	175	1892.064	0.871
en un	30	1737	192	1863.104	0.955
los ensayos	31	1705	183	1828.781	0.910
el tumor	32	1683	126	1805.184	0.627
y la	33	1638	193	1756.917	0.960
para obtener	34	1585	191	1700.069	0.950
posible que	35	1567	190	1680.762	0.945
se llama	36	1495	189	1603.535	0.940
ganglios linfáticos	37	1491	108	1599.245	0.537
es un	38	1471	190	1577.793	0.945
de un	39	1463	192	1569.212	0.955
partes del	40	1442	145	1546.688	0.721
se diseminó	41	1420	128	1523.090	0.637
también se	42	1407	191	1509.147	0.950
después de	43	1360	170	1458.734	0.846
ensayo clínico	44	1313	146	1408.322	0.726
un ensayo	45	1308	145	1402.959	0.721
se usa	46	1307	156	1401.887	0.776
cáncer en	47	1298	193	1392.233	0.960
sobre los	48	1248	194	1338.603	0.965
otras partes	49	1246	137	1336.458	0.682
riesgo de	50	1240	160	1330.023	0.796
y se	51	1232	179	1321.442	0.891
los tratamientos	52	1223	178	1311.788	0.886
la sangre	53	1176	151	1261.376	0.751
tratamiento para	53	1176	148	1261.376	0.736
en una	55	1155	164	1238.852	0.816
a través	56	1133	143	1215.255	0.711
en inglés	57	1130	195	1212.037	0.970
si el	58	1114	173	1194.875	0.861
tratamiento de	59	1111	155	1191.657	0.771
el que	60	1100	156	1179.859	0.776
por el	61	1095	193	1174.496	0.960
que no	62	1070	197	1147.681	0.980
no se	63	1041	193	1116.575	0.960
el estadio	64	1013	118	1086.543	0.587
y los	65	1011	197	1084.397	0.980
las siguientes	66	1000	182	1072.599	0.905
los tumores	66	1000	111	1072.599	0.552
más información	68	998	183	1070.454	0.910
se usan	69	997	182	1069.381	0.905
obtener más	70	983	180	1054.365	0.896
del paciente	71	979	158	1050.074	0.786
efectos secundarios	72	965	174	1035.058	0.866
el riesgo	73	964	156	1033.985	0.776
información sobre	74	961	183	1030.767	0.910
el cuerpo	75	952	161	1021.114	0.801
de una	76	937	177	1005.025	0.881
con el	77	925	187	992.154	0.930
que los	78	923	194	990.009	0.965
a los	79	915	167	981.428	0.831
los ganglios	80	911	103	977.138	0.512
en estadio	81	896	83	961.049	0.413
opciones de	82	889	126	953.540	0.627
la quimioterapia	83	886	155	950.323	0.771
a la	84	875	169	938.524	0.841
a otras	85	870	127	933.161	0.632
sobre el	86	866	196	928.871	0.975
de riesgo	87	865	137	927.798	0.682
del tratamiento	88	862	158	924.580	0.786
de tejido	89	850	131	911.709	0.652
participación en	90	830	124	890.257	0.617
través de	91	826	137	885.967	0.682
que la	92	824	188	883.821	0.935
se encuentra	93	823	162	882.749	0.806
la piel	94	818	107	877.386	0.532
se disemina	94	818	107	877.386	0.532
las opciones	96	816	126	875.241	0.627
o el	97	813	171	872.023	0.851
la radioterapia	98	810	142	868.805	0.706
para determinar	98	810	162	868.805	0.806
la médula	100	806	68	864.515	0.338
en las	101	803	174	861.297	0.866
con cáncer	102	802	168	860.224	0.836
y las	103	795	182	852.716	0.905
tratamiento estándar	104	781	143	837.700	0.711
diseminó a	105	777	93	833.409	0.463
un tratamiento	106	776	161	832.337	0.801
para los	107	759	158	814.103	0.786
se utilizan	108	757	142	811.957	0.706
pacientes de	109	755	167	809.812	0.831
se puede	110	748	174	802.304	0.866
parte del	111	747	151	801.231	0.751
o la	112	746	163	800.159	0.811
pacientes que	113	738	165	791.578	0.821
cirugía para	114	733	123	786.215	0.612
veces se	115	728	144	780.852	0.716
cáncer que	116	721	176	773.344	0.876
si hay	117	710	163	761.545	0.811
terapia dirigida	118	708	96	759.400	0.478
de que	119	702	173	752.964	0.861
de mama	120	701	47	751.892	0.234
determinar si	121	699	165	749.747	0.821
de salud	122	697	169	747.601	0.841
la cirugía	123	691	136	741.166	0.677
los tejidos	124	684	157	733.658	0.781
los efectos	125	674	173	722.932	0.861
fin de	126	673	140	721.859	0.697
la imagen	127	671	148	719.714	0.736
células de	128	669	128	717.569	0.637
información general	129	668	194	716.496	0.965
obtener información	130	667	165	715.423	0.821
procedimiento para	131	664	137	712.206	0.682
tumores de	132	654	75	701.480	0.373
de detección	133	646	63	692.899	0.313
la parte	134	645	139	691.826	0.692
en este	135	643	158	689.681	0.786
sistema linfático	135	643	88	689.681	0.438
la que	137	641	158	687.536	0.786
los niños	138	637	80	683.245	0.398
un tumor	139	632	116	677.882	0.577
interior del	140	625	133	670.374	0.662
para tratar	141	620	155	665.011	0.771
general sobre	142	619	193	663.939	0.960
médula ósea	143	616	48	660.721	0.239
en ensayos	144	615	150	659.648	0.746
para extirpar	144	615	115	659.648	0.572
el sistema	146	612	133	656.430	0.662
que las	146	612	165	656.430	0.821
tratamiento el	148	603	152	646.777	0.756
del tumor	149	602	122	645.705	0.607
una muestra	150	599	124	642.487	0.617
un tipo	151	590	156	632.833	0.776
a continuación	152	581	135	623.180	0.672
una vena	153	580	135	622.107	0.672
más de	154	579	127	621.035	0.632
para la	155	577	159	618.890	0.791
por lo	156	576	168	617.817	0.836
por la	157	574	177	615.672	0.881
puntos importantes	158	571	180	612.454	0.896
se pueden	158	571	188	612.454	0.935
muestra de	160	567	116	608.164	0.577
los vasos	161	565	117	606.018	0.582
usa para	161	565	142	606.018	0.706
a fin	163	564	135	604.946	0.672
el cuello	163	564	82	604.946	0.408
células madre	165	562	40	602.801	0.199
se muestra	165	562	133	602.801	0.662
clínico de	167	560	142	600.655	0.706
consulte la	168	556	149	596.365	0.741
cuello uterino	169	544	29	583.494	0.144
del interior	170	543	125	582.421	0.622
se observa	170	543	123	582.421	0.612
como el	172	530	163	568.477	0.811
la sección	172	530	148	568.477	0.736
carcinoma de	174	529	46	567.405	0.229
efectos tardíos	174	529	63	567.405	0.313
las personas	174	529	183	567.405	0.910
y otros	174	529	174	567.405	0.866
al microscopio	178	527	133	565.260	0.662
exámenes de	179	524	70	562.042	0.348
consulte el	180	523	170	560.969	0.846
para diagnosticar	181	520	138	557.751	0.687
aspectos generales	182	516	151	553.461	0.751
y síntomas	183	515	118	552.388	0.587
signos y	184	514	116	551.316	0.577
factores de	185	512	134	549.171	0.667
lugar del	185	512	141	549.171	0.701
la información	187	510	173	547.025	0.861
probabilidad de	188	507	161	543.808	0.801
de sangre	189	505	105	541.662	0.522
los órganos	189	505	134	541.662	0.667
generales de	191	501	131	537.372	0.652
terapia con	192	500	97	536.299	0.483
edad del	193	499	140	535.227	0.697
el tejido	194	492	128	527.719	0.637
cáncer y	195	490	175	525.573	0.871
la salud	196	489	147	524.501	0.731
se inyecta	197	487	126	522.356	0.627
es una	198	486	157	521.283	0.781
paciente y	198	486	140	521.283	0.697
la terapia	200	484	138	519.138	0.687
cáncer la	201	483	176	518.065	0.876
se presenta	201	483	153	518.065	0.761
y una	203	482	146	516.993	0.726
tratamiento en	204	476	135	510.557	0.672
de internet	205	475	161	509.484	0.801
el médico	205	475	140	509.484	0.697
los resultados	207	470	162	504.121	0.806
aceptan pacientes	208	467	136	500.904	0.677
con un	208	467	142	500.904	0.706
información en	210	462	163	495.541	0.811
de ensayos	211	453	139	485.887	0.692
del sistema	211	453	124	485.887	0.617
diagnosticar el	213	451	130	483.742	0.647
de pulmón	214	449	79	481.597	0.393
pacientes en	215	447	137	479.452	0.682
la leucemia	216	446	26	478.379	0.129
ayudan a	217	445	152	477.306	0.756
diferentes tipos	217	445	148	477.306	0.736
sección sobre	217	445	140	477.306	0.697
el nci	220	444	139	476.234	0.692
sobre cáncer	220	444	135	476.234	0.672
a las	222	442	156	474.089	0.776
realice una	222	442	133	474.089	0.662
los signos	224	441	126	473.016	0.627
células t	225	439	37	470.871	0.184
del ensayo	225	439	135	470.871	0.672
después del	227	438	121	469.798	0.602
inglés de	227	438	133	469.798	0.662
cambios en	229	436	129	467.653	0.642
se administra	229	436	126	467.653	0.627
instituto nacional	231	435	183	466.581	0.910
clínicos sobre	232	433	134	464.435	0.667
donde comenzó	232	433	91	464.435	0.453
cáncer edad	234	432	133	463.363	0.662
y lugar	234	432	132	463.363	0.657
este momento	236	431	133	462.290	0.662
nacional del	236	431	183	462.290	0.910
auspiciados por	238	430	132	461.218	0.657
busque por	238	430	132	461.218	0.657
búsqueda en	238	430	132	461.218	0.657
consulte también	238	430	132	461.218	0.657
cáncer auspiciados	238	430	132	461.218	0.657
ensayo consulte	238	430	132	461.218	0.657
momento busque	238	430	132	461.218	0.657
nci que	238	430	132	461.218	0.657
por tipo	238	430	132	461.218	0.657
que aceptan	238	430	132	461.218	0.657
también información	238	430	132	461.218	0.657
