CUI|TECHNICAL_TERM|PATIENT_TERM|SEMANTIC_TYPES|SEMANTIC_GROUP
C0000503|γ-hidroxibutirato|éxtasis líquido|Organic Chemical;Pharmacologic Substance|CHEM
C0000608|aac|ácido aminocaproico|Amino Acid, Peptide, or Protein;Pharmacologic Substance|CHEM
C0000608|ácido e-amino-n-caproico|ácido épsilon-aminocaproico|Amino Acid, Peptide, or Protein;Pharmacologic Substance|CHEM
C0000726|abd.|abdomen|Body Location or Region|ANAT
C0000726|abdomen|barriga|Body Location or Region|ANAT
C0000726|abdominal|del vientre|Body Location or Region|ANAT
C0000726|ab|abdomen|Body Location or Region|ANAT
C0000727|aa|abdomen agudo|Sign or Symptom|DISO
C0000727|abdomen agudo|dolor intenso en el vientre|Sign or Symptom|DISO
C0000737|dab|dolor abdominal|Sign or Symptom|DISO
C0000737|dolor abdominal|dolor de barriga|Sign or Symptom|DISO
C0000768|disgenesia|desarrollo defectuoso|Congenital Abnormality|DISO
C0000768|malformación|deformidad|Congenital Abnormality|DISO
C0000833|absceso|infección de tejido con hinchazón y pus|Disease or Syndrome|DISO
C0000833|abs|absceso|Disease or Syndrome|DISO
C0000956|acenocumarol|sintrom (medicamento para evitar la coagulación de la sangre y la formación de coágulos)|Organic Chemical;Pharmacologic Substance|CHEM
C0001041|aco|acetilcolina|Biologically Active Substance;Organic Chemical;Pharmacologic Substance|CHEM
C0001044|ace|acetilcolinesterasa|Amino Acid, Peptide, or Protein;Enzyme|CHEM
C0001080|acondroplasia|enanismo|Congenital Abnormality|DISO
C0001122|acidosis|aumento de la acidez en líquidos y tejidos del cuerpo|Pathologic Function|DISO
C0001126|atr|acidosis tubular renal|Disease or Syndrome|DISO
C0001206|acromegalia|la acromegalia es un trastorno metabólico crónico en el que hay excesiva secreción de la hormona del crecimiento y los tejidos del cuerpo aumentan gradualmente|Disease or Syndrome|DISO
C0001288|acvd|actividad de la vida diaria|Daily or Recreational Activity|ACTI
C0001288|adl|actividad de la vida diaria|Daily or Recreational Activity|ACTI
C0001288|avd|actividad de la vida diaria|Daily or Recreational Activity|ACTI
C0001367|acv|aciclovir|Nucleic Acid, Nucleoside, or Nucleotide;Pharmacologic Substance|CHEM
C0001339|pa|pancreatitis aguda|Disease or Syndrome|DISO
C0001344|rinofaringitis|inflamación de la nariz y de la garganta|Disease or Syndrome|DISO
C0001416|adenitis|inflamación de una glándula|Sign or Symptom|DISO
C0001418|ac|adenocarcinoma|Neoplastic Process|DISO
C0001418|adc|adenocarcinoma|Neoplastic Process|DISO
C0001418|adenoca.|adenocarcinoma|Neoplastic Process|DISO
C0001430|adenoma|tipo de tumor benigno|Neoplastic Process|DISO
